#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Wed Oct 28 00:35:45 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       bft.ncd
#OUTPUT FILE:      bft_routed_pad.csv
#PART TYPE:        xc7k70t
#SPEED GRADE:      -2
#PACKAGE:          fbg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
B5,,IPAD,MGTXRXN3_115,UNUSED,,,,,,,,,,,
B6,,IPAD,MGTXRXP3_115,UNUSED,,,,,,,,,,,
B7,,,GND,,,,,,,,,,,,
B8,,IOB33S,IO_L22N_T3_16,UNUSED,,16,,,,,,,,,
B9,,,GND,,,,,,,,,,,,
B10,,IOB33S,IO_L20N_T3_16,UNUSED,,16,,,,,,,,,
B11,,IOB33M,IO_L20P_T3_16,UNUSED,,16,,,,,,,,,
B12,,IOB33S,IO_L2N_T0_AD8N_15,UNUSED,,15,,,,,,,,,
B13,,IOB33S,IO_L5N_T0_AD2N_15,UNUSED,,15,,,,,,,,,
B14,,,VCCO_15,,,15,,,,,any******,,,,
B15,,IOB33M,IO_L9P_T1_DQS_AD11P_15,UNUSED,,15,,,,,,,,,
B16,,IOB33M,IO_L8P_T1_AD3P_15,UNUSED,,15,,,,,,,,,
B17,,IOB33M,IO_L10P_T1_AD4P_15,UNUSED,,15,,,,,,,,,
B18,,IOB33M,IO_L20P_T3_A20_15,UNUSED,,15,,,,,,,,,
B19,,,GND,,,,,,,,,,,,
B20,,IOB33M,IO_L24P_T3_RS1_15,UNUSED,,15,,,,,,,,,
B21,,IOB33S,IO_L24N_T3_RS0_15,UNUSED,,15,,,,,,,,,
B22,,IOB33S,IO_L21N_T3_DQS_A18_15,UNUSED,,15,,,,,,,,,
C1,,,GND,,,,,,,,,,,,
C2,,,MGTAVTT,,,,,,,,,,,,
C3,,IPAD,MGTXRXN2_115,UNUSED,,,,,,,,,,,
C4,,IPAD,MGTXRXP2_115,UNUSED,,,,,,,,,,,
C5,,,GND,,,,,,,,,,,,
C6,,,MGTAVCC,,,,,,,,,,,,
C7,,,GND,,,,,,,,,,,,
C8,,IOB33M,IO_L22P_T3_16,UNUSED,,16,,,,,,,,,
C9,,IOB33S,IO_L19N_T3_VREF_16,UNUSED,,16,,,,,,,,,
C10,,IOB33S,IO_L7N_T1_16,UNUSED,,16,,,,,,,,,
C11,,,VCCO_16,,,16,,,,,any******,,,,
C12,,IOB33M,IO_L2P_T0_AD8P_15,UNUSED,,15,,,,,,,,,
C13,,IOB33M,IO_L5P_T0_AD2P_15,UNUSED,,15,,,,,,,,,
C14,,IOB33M,IO_L7P_T1_AD10P_15,UNUSED,,15,,,,,,,,,
C15,,IOB33S,IO_L7N_T1_AD10N_15,UNUSED,,15,,,,,,,,,
C16,,,GND,,,,,,,,,,,,
C17,,IOB33M,IO_L12P_T1_MRCC_AD5P_15,UNUSED,,15,,,,,,,,,
C18,,IOB33S,IO_L12N_T1_MRCC_AD5N_15,UNUSED,,15,,,,,,,,,
C19,,IOB33M,IO_L19P_T3_A22_15,UNUSED,,15,,,,,,,,,
C20,,IOB33S,IO_L19N_T3_A21_VREF_15,UNUSED,,15,,,,,,,,,
C21,,,VCCO_15,,,15,,,,,any******,,,,
C22,,IOB33M,IO_L21P_T3_DQS_15,UNUSED,,15,,,,,,,,,
D1,,OPAD,MGTXTXN1_115,UNUSED,,,,,,,,,,,
D2,,OPAD,MGTXTXP1_115,UNUSED,,,,,,,,,,,
D3,,,GND,,,,,,,,,,,,
D4,,,GND,,,,,,,,,,,,
D5,,IPAD,MGTREFCLK0N_115,UNUSED,,,,,,,,,,,
D6,,IPAD,MGTREFCLK0P_115,UNUSED,,,,,,,,,,,
D7,,,GND,,,,,,,,,,,,
D8,,,VCCO_16,,,16,,,,,any******,,,,
D9,,IOB33M,IO_L19P_T3_16,UNUSED,,16,,,,,,,,,
D10,,IOB33M,IO_L7P_T1_16,UNUSED,,16,,,,,,,,,
D11,,IOB33S,IO_L12N_T1_MRCC_16,UNUSED,,16,,,,,,,,,
D12,,IOB33,IO_0_15,UNUSED,,15,,,,,,,,,
D13,,,GND,,,,,,,,,,,,
D14,,IOB33S,IO_L6N_T0_VREF_15,UNUSED,,15,,,,,,,,,
D15,,IOB33M,IO_L11P_T1_SRCC_AD12P_15,UNUSED,,15,,,,,,,,,
D16,,IOB33S,IO_L11N_T1_SRCC_AD12N_15,UNUSED,,15,,,,,,,,,
D17,,IOB33S,IO_L14N_T2_SRCC_15,UNUSED,,15,,,,,,,,,
D18,,,VCCO_15,,,15,,,,,any******,,,,
D19,,IOB33M,IO_L18P_T2_A24_15,UNUSED,,15,,,,,,,,,
D20,,IOB33S,IO_L18N_T2_A23_15,UNUSED,,15,,,,,,,,,
D21,,IOB33M,IO_L23P_T3_FOE_B_15,UNUSED,,15,,,,,,,,,
D22,,IOB33S,IO_L23N_T3_FWE_B_15,UNUSED,,15,,,,,,,,,
E1,,,GND,,,,,,,,,,,,
E2,,,MGTAVTT,,,,,,,,,,,,
E3,,IPAD,MGTXRXN1_115,UNUSED,,,,,,,,,,,
E4,,IPAD,MGTXRXP1_115,UNUSED,,,,,,,,,,,
E5,,,GND,,,,,,,,,,,,
E6,,,MGTAVCC,,,,,,,,,,,,
E7,,,GND,,,,,,,,,,,,
E8,,IOB33M,IO_24_T3_16,UNUSED,,16,,,,,,,,,
E9,,IOB33S,IO_L15N_T2_DQS_16,UNUSED,,16,,,,,,,,,
E10,,,GND,,,,,,,,,,,,
E11,,IOB33M,IO_L12P_T1_MRCC_16,UNUSED,,16,,,,,,,,,
E12,,IOB33S,IO_L10N_T1_16,UNUSED,,16,,,,,,,,,
E13,,IOB33M,IO_L10P_T1_16,UNUSED,,16,,,,,,,,,
E14,,IOB33M,IO_L6P_T0_15,UNUSED,,15,,,,,,,,,
E15,,,VCCO_15,,,15,,,,,any******,,,,
E16,,IOB33M,IO_L14P_T2_SRCC_15,UNUSED,,15,,,,,,,,,
E17,,IOB33M,IO_L13P_T2_MRCC_15,UNUSED,,15,,,,,,,,,
E18,,IOB33S,IO_L13N_T2_MRCC_15,UNUSED,,15,,,,,,,,,
E19,,IOB33S,IO_L17N_T2_A25_15,UNUSED,,15,,,,,,,,,
E20,,,GND,,,,,,,,,,,,
E21,wbInputData[18],IOB,IO_L7P_T1_D09_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
E22,wbInputData[17],IOB,IO_L7N_T1_D10_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
F1,,OPAD,MGTXTXN0_115,UNUSED,,,,,,,,,,,
F2,,OPAD,MGTXTXP0_115,UNUSED,,,,,,,,,,,
F3,,,GND,,,,,,,,,,,,
F4,,,GND,,,,,,,,,,,,
F5,,IPAD,MGTREFCLK1N_115,UNUSED,,,,,,,,,,,
F6,,IPAD,MGTREFCLK1P_115,UNUSED,,,,,,,,,,,
F7,,,GND,,,,,,,,,,,,
F8,,IOB33S,IO_L17N_T2_16,UNUSED,,16,,,,,,,,,
F9,,IOB33M,IO_L15P_T2_DQS_16,UNUSED,,16,,,,,,,,,
F10,,IOB33S,IO_L11N_T1_SRCC_16,UNUSED,,16,,,,,,,,,
F11,,IOB33M,IO_L11P_T1_SRCC_16,UNUSED,,16,,,,,,,,,
F12,,,VCCO_16,,,16,,,,,any******,,,,
F13,,IOB33S,IO_L8N_T1_16,UNUSED,,16,,,,,,,,,
F14,,IOB33S,IO_6_T0_VREF_16,UNUSED,,16,,,,,,,,,
F15,,IOB33M,IO_L3P_T0_DQS_AD1P_15,UNUSED,,15,,,,,,,,,
F16,,IOB33S,IO_L3N_T0_DQS_AD1N_15,UNUSED,,15,,,,,,,,,
F17,,,GND,,,,,,,,,,,,
F18,,IOB33M,IO_L17P_T2_A26_15,UNUSED,,15,,,,,,,,,
F19,wbInputData[27],IOB,IO_L2N_T0_D03_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
F20,wbInputData[23],IOB,IO_L4N_T0_D05_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
F21,wbInputData[13],IOB,IO_L9N_T1_DQS_D13_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
F22,,,VCCO_14,,,14,,,,,1.80,,,,
G1,,,GND,,,,,,,,,,,,
G2,,,MGTAVTT,,,,,,,,,,,,
G3,,IPAD,MGTXRXN0_115,UNUSED,,,,,,,,,,,
G4,,IPAD,MGTXRXP0_115,UNUSED,,,,,,,,,,,
G5,,,GND,,,,,,,,,,,,
G6,,,MGTAVCC,,,,,,,,,,,,
G7,,,CCLK_0,,,,,,,,,,,,
G8,,IOB33M,IO_L17P_T2_16,UNUSED,,16,,,,,,,,,
G9,,,VCCO_16,,,16,,,,,any******,,,,
G10,,IOB33S,IO_L13N_T2_MRCC_16,UNUSED,,16,,,,,,,,,
G11,,IOB33M,IO_L13P_T2_MRCC_16,UNUSED,,16,,,,,,,,,
G12,,IOB33S,IO_L14N_T2_SRCC_16,UNUSED,,16,,,,,,,,,
G13,,IOB33M,IO_L8P_T1_16,UNUSED,,16,,,,,,,,,
G14,,,GND,,,,,,,,,,,,
G15,,IOB33M,IO_L1P_T0_AD0P_15,UNUSED,,15,,,,,,,,,
G16,,IOB33S,IO_L1N_T0_AD0N_15,UNUSED,,15,,,,,,,,,
G17,,IOB33S,IO_L15N_T2_DQS_ADV_B_15,UNUSED,,15,,,,,,,,,
G18,wbInputData[28],IOB,IO_L2P_T0_D02_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
G19,,,VCCO_14,,,14,,,,,1.80,,,,
G20,wbInputData[24],IOB,IO_L4P_T0_D04_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
G21,wbInputData[14],IOB,IO_L9P_T1_DQS_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
G22,wbInputData[15],IOB,IO_L8N_T1_D12_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
H1,,,MGTAVTTRCAL_115,,,,,,,,,,,,
H2,,,MGTRREF_115,,,,,,,,,,,,
H3,,,GND,,,,,,,,,,,,
H4,,,GND,,,,,,,,,,,,
H5,,,GND,,,,,,,,,,,,
H6,,,M1_0,,,,,,,,,,,,
H7,,,M0_0,,,,,,,,,,,,
H8,,IOB33S,IO_L16N_T2_16,UNUSED,,16,,,,,,,,,
H9,,IOB33M,IO_L16P_T2_16,UNUSED,,16,,,,,,,,,
H10,,IOB33M,IO_18_T2_16,UNUSED,,16,,,,,,,,,
H11,,,GND,,,,,,,,,,,,
H12,,IOB33M,IO_L14P_T2_SRCC_16,UNUSED,,16,,,,,,,,,
H13,,IOB33S,IO_L9N_T1_DQS_16,UNUSED,,16,,,,,,,,,
H14,,IOB33M,IO_L9P_T1_DQS_16,UNUSED,,16,,,,,,,,,
H15,,IOB33,IO_25_15,UNUSED,,15,,,,,,,,,
H16,,,VCCO_15,,,15,,,,,any******,,,,
H17,,IOB33M,IO_L15P_T2_DQS_15,UNUSED,,15,,,,,,,,,
H18,wbInputData[30],IOB,IO_L1P_T0_D00_MOSI_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
H19,wbInputData[29],IOB,IO_L1N_T0_D01_DIN_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
H20,wbInputData[9],IOB,IO_L11N_T1_SRCC_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
H21,,,GND,,,,,,,,,,,,
H22,wbInputData[16],IOB,IO_L8P_T1_D11_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
J1,,,GND,,,,,,,,,,,,
J2,,,GND,,,,,,,,,,,,
J3,,,GND,,,,,,,,,,,,
J4,,,MGTVCCAUX,,,,,,,,,,,,
J5,,,M2_0,,,,,,,,,,,,
J6,,,TDO_0,,,,,,,,,,,,
J7,,,VCCO_0,,,0,,,,,any******,,,,
J8,,,GND,,,,,,,,,,,,
J9,,,VCCINT,,,,,,,,1.0,,,,
J10,,,GND,,,,,,,,,,,,
J11,,,VCCINT,,,,,,,,1.0,,,,
J12,,,GND,,,,,,,,,,,,
J13,,,VCCINT,,,,,,,,1.0,,,,
J14,,,GND,,,,,,,,,,,,
J15,,,VCCINT,,,,,,,,1.0,,,,
J16,,IOB33M,IO_L16P_T2_A28_15,UNUSED,,15,,,,,,,,,
J17,,IOB33S,IO_L16N_T2_A27_15,UNUSED,,15,,,,,,,,,
J18,,,GND,,,,,,,,,,,,
J19,wbInputData[25],IOB,IO_L3N_T0_DQS_EMCCLK_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
J20,wbInputData[10],IOB,IO_L11P_T1_SRCC_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
J21,wbInputData[12],IOB,IO_L10P_T1_D14_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
J22,wbInputData[11],IOB,IO_L10N_T1_D15_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
K1,,IOB18M,IO_L2P_T0_34,UNUSED,,34,,,,,,,,,
K2,,IOB18S,IO_L4N_T0_34,UNUSED,,34,,,,,,,,,
K3,,IOB18M,IO_L4P_T0_34,UNUSED,,34,,,,,,,,,
K4,,IOB18,IO_0_VRN_34,UNUSED,,34,,,,,,,,,
K5,,,GND,,,,,,,,,,,,
K6,,,TDI_0,,,,,,,,,,,,
K7,,,TCK_0,,,,,,,,,,,,
K8,,,VCCINT,,,,,,,,1.0,,,,
K9,,,GND,,,,,,,,,,,,
K10,,,VCCAUX,,,,,,,,1.8,,,,
K11,,,GNDADC_0,,,,,,,,,,,,
K12,,,VCCADC_0,,,,,,,,,,,,
K13,,,GND,,,,,,,,,,,,
K14,,,VCCINT,,,,,,,,1.0,,,,
K15,,,GND,,,,,,,,,,,,
K16,wbInputData[31],IOB,IO_0_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
K17,wbInputData[19],IOB,IO_L6N_T0_D08_VREF_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
K18,wbInputData[26],IOB,IO_L3P_T0_DQS_PUDC_B_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
K19,wbInputData[21],IOB,IO_L5N_T0_D07_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
K20,,,VCCO_14,,,14,,,,,1.80,,,,
K21,wbInputData[0],IOB,IO_L16P_T2_CSI_B_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
K22,wbOutputData[31],IOB,IO_L16N_T2_A15_D31_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,LOCATED,NO,NONE,
L1,,IOB18S,IO_L2N_T0_34,UNUSED,,34,,,,,,,,,
L2,,,GND,,,,,,,,,,,,
L3,,IOB18M,IO_L1P_T0_34,UNUSED,,34,,,,,,,,,
L4,,IOB18S,IO_L6N_T0_VREF_34,UNUSED,,34,,,,,,,,,
L5,,IOB18M,IO_L6P_T0_34,UNUSED,,34,,,,,,,,,
L6,,,TMS_0,,,,,,,,,,,,
L7,,,INIT_B_0,,,,,,,,,,,,
L8,,,GND,,,,,,,,,,,,
L9,,,VCCINT,,,,,,,,1.0,,,,
L10,,,GND,,,,,,,,,,,,
L11,,,VREFN_0,,,,,,,,,,,,
L12,,IPAD,VP_0,UNUSED,,0,,,,,,,,,
L13,,,VCCBRAM,,,,,,,,,,,,
L14,,,GND,,,,,,,,,,,,
L15,,,VCCINT,,,,,,,,1.0,,,,
L16,wbInputData[20],IOB,IO_L6P_T0_FCS_B_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
L17,,,VCCO_14,,,14,,,,,1.80,,,,
L18,wbInputData[22],IOB,IO_L5P_T0_D06_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
L19,wbInputData[8],IOB,IO_L12P_T1_MRCC_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
L20,wbInputData[7],IOB,IO_L12N_T1_MRCC_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
L21,wbOutputData[27],IOB,IO_L18N_T2_A11_D27_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,LOCATED,NO,NONE,
L22,,,GND,,,,,,,,,,,,
M1,,IOB18S,IO_L3N_T0_DQS_34,UNUSED,,34,,,,,,,,,
M2,,IOB18M,IO_L3P_T0_DQS_34,UNUSED,,34,,,,,,,,,
M3,,IOB18S,IO_L1N_T0_34,UNUSED,,34,,,,,,,,,
M4,,,VCCO_34,,,34,,,,,any******,,,,
M5,,IOB18M,IO_L9P_T1_DQS_34,UNUSED,,34,,,,,,,,,
M6,,,PROGRAM_B_0,,,,,,,,,,,,
M7,,,CFGBVS_0,,,,,,,,,,,,
M8,,,VCCINT,,,,,,,,1.0,,,,
M9,,,GND,,,,,,,,,,,,
M10,,,VCCAUX,,,,,,,,1.8,,,,
M11,,IPAD,VN_0,UNUSED,,0,,,,,,,,,
M12,,,VREFP_0,,,,,,,,,,,,
M13,,,GND,,,,,,,,,,,,
M14,,,VCCINT,,,,,,,,1.0,,,,
M15,,,GND,,,,,,,,,,,,
M16,wbOutputData[14],IOB,IO_25_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,LOCATED,NO,NONE,
M17,wbInputData[4],IOB,IO_L14P_T2_SRCC_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
M18,wbInputData[3],IOB,IO_L14N_T2_SRCC_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
M19,,,GND,,,,,,,,,,,,
M20,wbOutputData[28],IOB,IO_L18P_T2_A12_D28_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,LOCATED,NO,NONE,
M21,wbOutputData[29],IOB,IO_L17N_T2_A13_D29_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,LOCATED,NO,NONE,
M22,wbInputData[1],IOB,IO_L15N_T2_DQS_DOUT_CSO_B_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
N1,,,VCCO_34,,,34,,,,,any******,,,,
N2,,IOB18S,IO_L5N_T0_34,UNUSED,,34,,,,,,,,,
N3,,IOB18M,IO_L5P_T0_34,UNUSED,,34,,,,,,,,,
N4,,IOB18S,IO_L9N_T1_DQS_34,UNUSED,,34,,,,,,,,,
N5,,IOB18M,IO_L18P_T2_34,UNUSED,,34,,,,,,,,,
N6,,,GND,,,,,,,,,,,,
N7,,,VCCO_0,,,0,,,,,any******,,,,
N8,,,GND,,,,,,,,,,,,
N9,,,VCCINT,,,,,,,,1.0,,,,
N10,,,GND,,,,,,,,,,,,
N11,,,DXN_0,,,,,,,,,,,,
N12,,,DXP_0,,,,,,,,,,,,
N13,,,VCCBRAM,,,,,,,,,,,,
N14,,,GND,,,,,,,,,,,,
N15,,,VCCINT,,,,,,,,1.0,,,,
N16,,,GND,,,,,,,,,,,,
N17,wbOutputData[17],IOB,IO_L23N_T3_A02_D18_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,LOCATED,NO,NONE,
N18,wbInputData[6],IOB,IO_L13P_T2_MRCC_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
N19,wbInputData[5],IOB,IO_L13N_T2_MRCC_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
N20,wbOutputData[30],IOB,IO_L17P_T2_A14_D30_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,LOCATED,NO,NONE,
N21,,,VCCO_14,,,14,,,,,1.80,,,,
N22,wbInputData[2],IOB,IO_L15P_T2_DQS_RDWR_B_14,INPUT,LVCMOS18*,14,,,,NONE,,LOCATED,NO,NONE,
P1,,IOB18M,IO_L8P_T1_34,UNUSED,,34,,,,,,,,,
P2,,IOB18M,IO_L7P_T1_34,UNUSED,,34,,,,,,,,,
P3,,,GND,,,,,,,,,,,,
P4,,IOB18M,IO_L11P_T1_SRCC_34,UNUSED,,34,,,,,,,,,
P5,,IOB18S,IO_L18N_T2_34,UNUSED,,34,,,,,,,,,
P6,,,DONE_0,,,,,,,,,,,,
P7,,,VCCBATT_0,,,,,,,,,,,,
P8,,,VCCAUX,,,,,,,,1.8,,,,
P9,,,GND,,,,,,,,,,,,
P10,,,VCCAUX,,,,,,,,1.8,,,,
P11,,,GND,,,,,,,,,,,,
P12,,,VCCAUX,,,,,,,,1.8,,,,
P13,,,GND,,,,,,,,,,,,
P14,,,VCCINT,,,,,,,,1.0,,,,
P15,,,GND,,,,,,,,,,,,
P16,wbOutputData[18],IOB,IO_L23P_T3_A03_D19_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,LOCATED,NO,NONE,
P17,wbOutputData[21],IOB,IO_L21N_T3_DQS_A06_D22_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,LOCATED,NO,NONE,
P18,,,VCCO_14,,,14,,,,,1.80,,,,
